,DateTime,P001
155,2010-05-13 15:10:00,1.39
156,2010-05-13 15:30:00,2.6199999999999997
157,2010-05-13 15:40:00,1.7499999999999998
158,2010-05-13 15:50:00,1.05
159,2010-05-13 16:00:00,0.05
160,2010-05-13 16:10:00,0.23
161,2010-05-13 16:20:00,1.3399999999999999
162,2010-05-13 16:30:00,1.22
163,2010-05-13 16:50:00,0.05
164,2010-05-13 17:00:00,0.09
165,2010-05-13 17:10:00,1.65
166,2010-05-13 17:50:00,8.399999999999999
167,2010-05-13 18:00:00,77.88
168,2010-05-13 18:10:00,19.29
169,2010-05-13 18:50:00,0.14
170,2010-05-13 19:00:00,0.12
171,2010-05-13 19:40:00,0.1
172,2010-05-13 19:50:00,0.69
173,2010-05-13 20:00:00,0.26
174,2010-05-13 20:50:00,0.05
175,2010-05-13 21:10:00,0.37
176,2010-05-13 21:30:00,0.17
177,2010-05-13 22:20:00,0.05
178,2010-05-13 23:20:00,2.7199999999999998
179,2010-05-13 23:30:00,3.7699999999999996
180,2010-05-14 00:30:00,1.79
181,2010-05-14 00:40:00,0.45999999999999996
182,2010-05-14 01:30:00,4.61
183,2010-05-14 01:40:00,0.72
184,2010-05-14 01:50:00,1.7499999999999998
185,2010-05-14 02:00:00,0.52
186,2010-05-14 02:30:00,3.34
187,2010-05-14 02:40:00,2.31
188,2010-05-14 02:50:00,0.05
189,2010-05-14 03:30:00,3.3699999999999997
190,2010-05-14 04:20:00,4.779999999999999
191,2010-05-14 04:30:00,0.05
192,2010-05-14 04:40:00,0.12000000000000001
193,2010-05-14 05:00:00,1.5899999999999999
194,2010-05-14 05:10:00,4.81
195,2010-05-14 05:50:00,4.05
196,2010-05-14 06:00:00,2.87
197,2010-05-14 06:10:00,0.52
198,2010-05-14 06:40:00,1.13
199,2010-05-14 06:50:00,11.220000000000002
200,2010-05-14 07:00:00,1.8900000000000003
201,2010-05-14 07:10:00,0.6100000000000001
202,2010-05-14 07:20:00,0.18
203,2010-05-14 07:30:00,1.22
204,2010-05-14 07:40:00,3.85
205,2010-05-14 07:50:00,58.2
206,2010-05-14 08:00:00,50.17
207,2010-05-14 08:10:00,0.7000000000000001
208,2010-05-14 08:30:00,0.05
209,2010-05-14 09:10:00,67.61
210,2010-05-14 09:40:00,0.33
211,2010-05-14 09:50:00,0.38
212,2010-05-14 10:20:00,0.47000000000000003
213,2010-05-14 10:30:00,0.35
214,2010-05-14 10:40:00,0.35
215,2010-05-14 10:50:00,0.17
216,2010-05-14 11:00:00,2.8600000000000008
217,2010-05-14 11:10:00,2.3099999999999996
218,2010-05-14 11:30:00,1.7199999999999998
219,2010-05-14 11:40:00,2.07
220,2010-05-14 11:50:00,0.17
221,2010-05-14 12:00:00,0.38
222,2010-05-14 12:40:00,15.34
223,2010-05-14 12:50:00,80.65
224,2010-05-14 13:00:00,0.05
225,2010-05-14 14:30:00,1.09
226,2010-05-14 14:40:00,0.8
227,2010-05-14 14:50:00,3.67
228,2010-05-14 15:10:00,3.5500000000000003
229,2010-05-14 15:20:00,1.5899999999999999
230,2010-05-14 15:30:00,1.9699999999999998
231,2010-05-14 15:40:00,1.38
232,2010-05-14 15:50:00,2.2699999999999996
233,2010-05-14 16:10:00,0.61
234,2010-05-14 16:20:00,1.6199999999999999
235,2010-05-14 16:30:00,1.9199999999999997
236,2010-05-14 16:40:00,3.5900000000000003
237,2010-05-14 16:50:00,2.32
238,2010-05-14 17:00:00,8.669999999999998
239,2010-05-14 17:10:00,31.50000000000001
240,2010-05-14 17:20:00,44.46000000000001
241,2010-05-14 17:30:00,64.4
242,2010-05-14 17:40:00,0.45000000000000007
243,2010-05-14 18:00:00,108.80999999999999
244,2010-05-14 18:10:00,72.89
245,2010-05-14 18:20:00,0.17
246,2010-05-14 18:30:00,0.05
247,2010-05-14 18:50:00,0.19
248,2010-05-14 19:40:00,1.7900000000000003
249,2010-05-14 19:50:00,0.35
250,2010-05-14 20:00:00,1.0
251,2010-05-14 20:10:00,0.19
252,2010-05-14 20:30:00,0.22000000000000003
253,2010-05-14 21:40:00,0.18
254,2010-05-15 00:10:00,1.7899999999999998
255,2010-05-15 00:30:00,0.37
256,2010-05-15 00:50:00,0.81
257,2010-05-15 01:00:00,0.05
258,2010-05-15 01:10:00,3.38
259,2010-05-15 01:20:00,4.32
260,2010-05-15 01:50:00,0.52
261,2010-05-15 02:30:00,0.05
262,2010-05-15 02:50:00,2.7300000000000004
263,2010-05-15 03:00:00,0.95
264,2010-05-15 04:10:00,2.29
265,2010-05-15 04:20:00,27.490000000000002
266,2010-05-15 04:30:00,75.85000000000001
267,2010-05-15 05:20:00,2.5600000000000005
268,2010-05-15 05:30:00,0.05
269,2010-05-15 05:50:00,0.18
270,2010-05-15 06:00:00,0.17
271,2010-05-15 06:10:00,0.7000000000000001
272,2010-05-15 06:20:00,2.47
273,2010-05-15 06:30:00,2.45
274,2010-05-15 06:40:00,1.85
275,2010-05-15 06:50:00,3.67
276,2010-05-15 07:00:00,3.48
277,2010-05-15 07:10:00,0.7000000000000001
278,2010-05-15 07:20:00,4.37
279,2010-05-15 07:30:00,0.45
280,2010-05-15 07:40:00,0.09
281,2010-05-15 07:50:00,18.29
282,2010-05-15 08:00:00,125.36000000000001
283,2010-05-15 08:10:00,0.1
284,2010-05-15 08:20:00,0.22
285,2010-05-15 08:30:00,1.9
286,2010-05-15 08:40:00,18.429999999999996
287,2010-05-15 08:50:00,2.7600000000000002
288,2010-05-15 09:00:00,198.93999999999997
289,2010-05-15 09:10:00,37.53000000000001
290,2010-05-15 09:30:00,0.38
291,2010-05-15 09:50:00,0.39999999999999997
292,2010-05-15 10:40:00,0.9199999999999999
293,2010-05-15 10:50:00,3.81
294,2010-05-15 11:30:00,1.57
295,2010-05-15 11:40:00,3.3500000000000005
296,2010-05-15 12:00:00,0.7
297,2010-05-15 12:10:00,1.22
298,2010-05-15 12:20:00,1.9299999999999997
299,2010-05-15 12:30:00,0.17
300,2010-05-15 12:40:00,1.4
301,2010-05-15 12:50:00,0.7000000000000001
302,2010-05-15 14:00:00,0.05
303,2010-05-15 14:30:00,0.8400000000000001
304,2010-05-15 14:40:00,1.9199999999999997
305,2010-05-15 14:50:00,0.7000000000000001
